date,prob_up,actual_up,next_return,window
2018-08-13,0.40155125,1,-0.0037433975639846,1
2018-08-14,0.8175457,0,0.0063807317158883,1
2018-08-15,0.5145826,1,-0.00746733998297,1
2018-08-16,0.93995947,1,0.0080916563040247,1
2018-08-21,0.7709016,0,0.0023455277521209,1
2018-08-22,0.273316,0,-0.0005937100875319,1
2018-08-23,0.99488086,1,-0.0013278312742223,1
2018-08-24,0.9121779,1,0.0060186815790115,1
2018-08-27,0.9896106,1,0.0078948964195391,1
2018-08-28,0.8956674,1,0.0004833209445722,1
2018-08-29,0.25151792,1,0.0053807005086508,1
2018-08-31,0.6032157,0,3.4856417466810896e-05,1
2018-09-04,0.19979121,0,-0.0017226241822568,1
2018-09-05,0.93372667,1,-0.0026914307708258,1
2018-09-11,0.9569721,1,0.0032971325495458,1
2018-09-12,0.5652837,0,0.0002423299725275,1
2018-09-17,0.19657576,0,-0.0052943090027109,1
2018-09-21,0.49736637,0,-0.0009139570404094,1
2018-09-26,0.5051215,1,-0.0029920488260044,1
2018-09-27,0.02672528,1,0.00279429134332,1
2018-10-01,0.84546554,1,0.0034736992678952,1
2018-10-03,0.7817503,0,0.0005487050106536,1
2018-10-09,0.81560194,0,-0.0014592882003152,1
2018-10-10,0.9487044,0,-0.0316632300029152,1
2018-10-11,0.79294395,1,-0.0220264524575578,1
2018-10-12,0.7660749,0,0.013888472969427,1
2018-10-15,0.82352424,0,-0.0056172029453117,1
2018-10-18,0.98275125,0,-0.014440817179411,1
2018-10-19,0.3008139,0,-0.0005427251710775,1
2018-10-22,0.95117307,0,-0.0044889068663619,1
2018-10-23,0.28505623,0,-0.0050906262770882,1
2018-10-24,0.9491915,1,-0.0302985470316845,1
2018-10-25,0.10183493,0,0.0179406121256513,1
2018-10-26,0.7114075,0,-0.0175876891153347,1
2018-10-29,0.90483695,1,-0.0055401779295574,1
2018-10-30,0.14378984,1,0.0148187537837818,1
2018-10-31,0.9751501,1,0.0106809747314029,1
2018-11-06,0.8185448,1,0.0063280440404429,1
2018-11-07,0.989298,0,0.0214084934227645,1
2018-11-08,0.092481904,0,-0.0018145464169838,1
2018-11-12,0.056733508,0,-0.0186850877852333,1
2018-11-14,0.18893057,1,-0.0068366872884936,1
2018-11-15,0.03898972,0,0.0104367415924848,1
2018-11-19,0.9636299,0,-0.0169143092292362,1
2018-11-20,0.71426654,1,-0.0185063745780964,1
2018-11-21,0.876169,1,0.0034076885235467,1
2018-11-26,0.23191121,1,0.0161444657989251,1
2018-11-27,0.91970676,0,0.0033644394927896,1
2018-11-29,0.83284235,0,-0.0021854144377031,1
2018-12-04,0.9975262,0,-0.0324022044820829,1
2018-12-06,0.9513024,1,-0.0015170771127872,1
2018-12-11,0.99744874,1,0.0002273296065367,1
2018-12-12,0.09804181,0,0.005035481900095,1
2018-12-13,0.99522454,0,-0.0003390806325411,1
2018-12-17,0.060956743,0,-0.019618436263371,1
2018-12-18,0.9131406,0,-0.0010964568883545,1
2018-12-20,0.73108333,0,-0.01627808608119,1
2018-12-21,0.8101561,0,-0.0204896590332386,1
2018-12-24,0.75596845,1,-0.0264229337891704,1
2018-12-26,0.8528151,1,0.0505249768724307,1
2018-12-27,0.04356776,0,0.0076774209198158,1
2018-12-28,0.3130758,1,-0.0012900860589282,1
2018-12-31,0.060273297,1,0.0087589670896033,1
2019-01-02,0.9056159,0,0.0010401734944678,1
2019-01-03,0.9772263,1,-0.0238626847876889,1
2019-01-04,0.9963712,1,0.0334955855383936,1
2019-01-07,0.01321307,1,0.0078847130497576,1
2019-01-08,0.72545964,1,0.0093953377700373,1
2019-01-09,0.04358214,1,0.0046736095948867,1
2019-01-10,0.35389924,1,0.0035274276500594,1
2019-01-11,0.9169653,0,0.0003863257668503,1
2019-01-14,0.98377055,1,-0.0061010281559434,1
2019-01-16,0.21943337,1,0.0024198106737425,1
2019-01-17,0.73845255,1,0.0075864273746624,1
2019-01-18,0.1930206,0,0.0133099370149596,1
2019-01-22,0.020285983,1,-0.0135103185657999,1
